round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,0,41,0,16,0.7193,0.0,1.0,0,0.3491
2,0,40,0,17,0.7018,0.0,1.0,0,0.2912
3,0,45,0,12,0.7895,0.0,1.0,0,0.2019
4,0,38,0,19,0.6667,0.0,1.0,0,0.277
5,0,40,0,17,0.7018,0.0,1.0,0,0.2515
6,0,41,0,16,0.7193,0.0,1.0,0,0.2896
7,0,42,0,15,0.7368,0.0,1.0,0,0.3206
8,0,38,0,19,0.6667,0.0,1.0,0,0.3366
9,0,38,0,19,0.6667,0.0,1.0,0,0.403
10,0,37,0,20,0.6491,0.0,1.0,0,0.4054
11,0,45,0,12,0.7895,0.0,1.0,0,0.2352
12,0,41,0,16,0.7193,0.0,1.0,0,0.314
13,0,41,0,16,0.7193,0.0,1.0,0,0.4085
14,0,41,0,16,0.7193,0.0,1.0,0,0.3552
15,0,40,0,17,0.7018,0.0,1.0,0,0.2485
16,0,40,0,17,0.7018,0.0,1.0,0,0.3044
17,0,41,0,16,0.7193,0.0,1.0,0,0.3369
18,0,40,0,17,0.7018,0.0,1.0,0,0.1956
19,0,38,0,19,0.6667,0.0,1.0,0,0.3352
20,0,36,0,21,0.6316,0.0,1.0,0,0.3254
21,0,40,0,17,0.7018,0.0,1.0,0,0.2618
22,0,44,0,13,0.7719,0.0,1.0,0,0.2378
23,0,46,0,11,0.807,0.0,1.0,0,0.415
24,0,42,0,15,0.7368,0.0,1.0,0,0.4587
25,0,37,0,20,0.6491,0.0,1.0,0,0.2378
26,0,37,0,20,0.6491,0.0,1.0,0,0.3068
27,0,41,0,16,0.7193,0.0,1.0,0,0.4009
28,0,40,0,17,0.7018,0.0,1.0,0,0.2647
29,0,41,0,16,0.7193,0.0,1.0,0,0.3582
30,0,38,0,19,0.6667,0.0,1.0,0,0.3061
31,0,39,0,18,0.6842,0.0,1.0,0,0.2507
32,0,44,0,13,0.7719,0.0,1.0,0,0.3741
33,0,35,0,22,0.614,0.0,1.0,0,0.2442
34,0,34,0,23,0.5965,0.0,1.0,0,0.2992
35,0,46,0,11,0.807,0.0,1.0,0,0.2431
36,0,39,0,18,0.6842,0.0,1.0,0,0.2821
37,0,45,0,12,0.7895,0.0,1.0,0,0.413
38,0,46,0,11,0.807,0.0,1.0,0,0.3696
39,0,41,0,16,0.7193,0.0,1.0,0,0.3354
40,0,42,0,15,0.7368,0.0,1.0,0,0.4175
41,0,37,0,20,0.6491,0.0,1.0,0,0.2878
42,0,41,0,16,0.7193,0.0,1.0,0,0.3354
43,0,43,0,14,0.7544,0.0,1.0,0,0.2475
44,0,34,0,23,0.5965,0.0,1.0,0,0.2583
45,0,34,0,23,0.5965,0.0,1.0,0,0.2916
46,0,45,0,12,0.7895,0.0,1.0,0,0.2944
47,0,37,0,20,0.6491,0.0,1.0,0,0.2716
48,0,39,0,18,0.6842,0.0,1.0,0,0.3248
49,0,41,0,16,0.7193,0.0,1.0,0,0.218
50,0,44,0,13,0.7719,0.0,1.0,0,0.2115
