round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,8,26,15,8,0.5965,0.5,0.6341,0.4103,0.5579
2,14,29,11,3,0.7544,0.8235,0.725,0.6667,0.8103
3,10,33,12,2,0.7544,0.8333,0.7333,0.5882,0.6815
4,13,26,12,6,0.6842,0.6842,0.6842,0.5909,0.6842
5,13,22,18,4,0.614,0.7647,0.55,0.5417,0.6059
6,12,23,18,4,0.614,0.75,0.561,0.5217,0.593
7,11,25,17,4,0.6316,0.7333,0.5952,0.5116,0.5952
8,11,25,13,8,0.6316,0.5789,0.6579,0.5116,0.6884
9,11,26,12,8,0.6491,0.5789,0.6842,0.5238,0.6233
10,12,27,10,8,0.6842,0.6,0.7297,0.5714,0.6554
11,7,30,15,5,0.6491,0.5833,0.6667,0.4118,0.6963
12,10,24,17,6,0.5965,0.625,0.5854,0.4651,0.6463
13,10,22,19,6,0.5614,0.625,0.5366,0.4444,0.5534
14,11,26,15,5,0.6491,0.6875,0.6341,0.5238,0.6997
15,14,21,19,3,0.614,0.8235,0.525,0.56,0.6868
16,13,27,13,4,0.7018,0.7647,0.675,0.6047,0.6985
17,9,30,11,7,0.6842,0.5625,0.7317,0.5,0.7073
18,10,30,10,7,0.7018,0.5882,0.75,0.5405,0.6515
19,14,26,12,5,0.7018,0.7368,0.6842,0.6222,0.6787
20,16,22,14,5,0.6667,0.7619,0.6111,0.6275,0.6521
21,13,30,10,4,0.7544,0.7647,0.75,0.65,0.75
22,9,29,15,4,0.6667,0.6923,0.6591,0.4865,0.7465
23,6,34,12,5,0.7018,0.5455,0.7391,0.4138,0.5672
24,9,29,13,6,0.6667,0.6,0.6905,0.4865,0.6429
25,13,27,10,7,0.7018,0.65,0.7297,0.6047,0.7392
26,10,24,13,10,0.5965,0.5,0.6486,0.4651,0.5851
27,9,24,17,7,0.5789,0.5625,0.5854,0.4286,0.5473
28,13,22,18,4,0.614,0.7647,0.55,0.5417,0.5971
29,9,29,12,7,0.6667,0.5625,0.7073,0.4865,0.6905
30,12,24,14,7,0.6316,0.6316,0.6316,0.5333,0.6343
31,11,27,12,7,0.6667,0.6111,0.6923,0.5366,0.6766
32,8,31,13,5,0.6842,0.6154,0.7045,0.4706,0.6801
