round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
974,17,42,4,4,0.8806,0.8095,0.913,0.8095,0.9265
975,21,38,2,6,0.8806,0.7778,0.95,0.84,0.9037
976,16,45,3,3,0.9104,0.8421,0.9375,0.8421,0.9386
977,16,38,5,8,0.806,0.6667,0.8837,0.7111,0.8576
978,19,37,2,9,0.8358,0.6786,0.9487,0.7755,0.9121
979,17,35,4,11,0.7761,0.6071,0.8974,0.6939,0.8159
980,10,40,1,16,0.7463,0.3846,0.9756,0.5405,0.6614
981,24,31,5,7,0.8209,0.7742,0.8611,0.8,0.8351
982,16,40,1,10,0.8358,0.6154,0.9756,0.7442,0.8574
983,10,50,4,3,0.8955,0.7692,0.9259,0.7407,0.9031
984,16,39,4,8,0.8209,0.6667,0.907,0.7273,0.8304
985,13,45,0,9,0.8657,0.5909,1.0,0.7429,0.8343
986,17,42,0,8,0.8806,0.68,1.0,0.8095,0.8619
987,12,47,1,7,0.8806,0.6316,0.9792,0.75,0.8958
988,13,44,4,6,0.8507,0.6842,0.9167,0.7222,0.8114
989,22,34,2,9,0.8358,0.7097,0.9444,0.8,0.8584
990,11,46,4,6,0.8507,0.6471,0.92,0.6875,0.8353
991,11,48,2,6,0.8806,0.6471,0.96,0.7333,0.8918
992,15,37,6,9,0.7761,0.625,0.8605,0.6667,0.843
993,9,45,3,10,0.806,0.4737,0.9375,0.5806,0.7061
994,15,40,2,10,0.8209,0.6,0.9524,0.7143,0.8457
995,19,39,2,7,0.8657,0.7308,0.9512,0.8085,0.9203
996,12,47,2,6,0.8806,0.6667,0.9592,0.75,0.7823
997,16,35,2,14,0.7612,0.5333,0.9459,0.6667,0.7955
998,15,47,1,4,0.9254,0.7895,0.9792,0.8571,0.9792
999,15,39,3,10,0.806,0.6,0.9286,0.6977,0.7829
1000,23,37,1,6,0.8955,0.7931,0.9737,0.8679,0.8512
