round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
786,14,43,2,8,0.8507,0.6364,0.9556,0.7368,0.9303
787,17,42,0,8,0.8806,0.68,1.0,0.8095,0.8971
788,13,41,2,11,0.806,0.5417,0.9535,0.6667,0.8731
789,16,43,3,5,0.8806,0.7619,0.9348,0.8,0.8861
790,16,39,2,10,0.8209,0.6154,0.9512,0.7273,0.8799
791,16,44,2,5,0.8955,0.7619,0.9565,0.8205,0.9379
792,17,41,1,8,0.8657,0.68,0.9762,0.7907,0.9562
793,14,45,1,7,0.8806,0.6667,0.9783,0.7778,0.8975
794,8,46,0,13,0.806,0.381,1.0,0.5517,0.853
795,16,44,0,7,0.8955,0.6957,1.0,0.8205,0.9743
796,16,35,1,15,0.7612,0.5161,0.9722,0.6667,0.9256
797,9,46,0,12,0.8209,0.4286,1.0,0.6,0.9027
798,16,39,1,11,0.8209,0.5926,0.975,0.7273,0.825
799,18,40,1,8,0.8657,0.6923,0.9756,0.8,0.9381
800,21,37,2,7,0.8657,0.75,0.9487,0.8235,0.9002
801,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.9111
802,15,42,0,10,0.8507,0.6,1.0,0.75,0.9248
803,17,44,0,6,0.9104,0.7391,1.0,0.85,0.8962
804,12,48,2,5,0.8955,0.7059,0.96,0.7742,0.9565
805,15,44,1,7,0.8806,0.6818,0.9778,0.7895,0.9404
806,9,42,1,15,0.7612,0.375,0.9767,0.5294,0.7781
807,17,36,0,14,0.791,0.5484,1.0,0.7083,0.8943
808,17,42,0,8,0.8806,0.68,1.0,0.8095,0.9152
809,9,44,0,14,0.791,0.3913,1.0,0.5625,0.8775
810,14,40,2,11,0.806,0.56,0.9524,0.6829,0.8819
811,16,41,0,10,0.8507,0.6154,1.0,0.7619,0.909
812,18,40,0,9,0.8657,0.6667,1.0,0.8,0.9148
813,15,43,1,8,0.8657,0.6522,0.9773,0.7692,0.8854
814,21,39,1,6,0.8955,0.7778,0.975,0.8571,0.9426
815,21,36,2,8,0.8507,0.7241,0.9474,0.8077,0.951
816,15,40,3,9,0.8209,0.625,0.9302,0.7143,0.8517
817,15,42,2,8,0.8507,0.6522,0.9545,0.75,0.9002
818,18,40,1,8,0.8657,0.6923,0.9756,0.8,0.954
819,18,41,1,7,0.8806,0.72,0.9762,0.8182,0.9495
820,16,44,1,6,0.8955,0.7273,0.9778,0.8205,0.9505
821,17,35,2,13,0.7761,0.5667,0.9459,0.6939,0.8937
822,12,45,1,9,0.8507,0.5714,0.9783,0.7059,0.852
823,8,49,1,9,0.8507,0.4706,0.98,0.6154,0.8376
824,15,45,2,5,0.8955,0.75,0.9574,0.8108,0.9404
825,13,39,2,13,0.7761,0.5,0.9512,0.6341,0.894
826,17,42,1,7,0.8806,0.7083,0.9767,0.8095,0.9244
827,14,49,1,3,0.9403,0.8235,0.98,0.875,0.9424
828,8,51,2,6,0.8806,0.5714,0.9623,0.6667,0.8841
829,13,50,1,3,0.9403,0.8125,0.9804,0.8667,0.9314
830,13,48,2,4,0.9104,0.7647,0.96,0.8125,0.8882
831,11,44,0,12,0.8209,0.4783,1.0,0.6471,0.8587
832,20,36,1,10,0.8358,0.6667,0.973,0.7843,0.9748
833,13,41,0,13,0.806,0.5,1.0,0.6667,0.8818
834,22,40,0,5,0.9254,0.8148,1.0,0.898,0.975
835,16,45,1,5,0.9104,0.7619,0.9783,0.8421,0.9679
836,22,37,2,6,0.8806,0.7857,0.9487,0.8462,0.9579
837,18,44,0,5,0.9254,0.7826,1.0,0.878,0.918
838,20,42,2,3,0.9254,0.8696,0.9545,0.8889,0.9555
839,18,40,1,8,0.8657,0.6923,0.9756,0.8,0.9475
840,10,47,3,7,0.8507,0.5882,0.94,0.6667,0.8647
841,17,41,3,6,0.8657,0.7391,0.9318,0.7907,0.9457
842,14,47,1,5,0.9104,0.7368,0.9792,0.8235,0.9539
843,11,48,2,6,0.8806,0.6471,0.96,0.7333,0.8941
844,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.8854
845,13,49,1,4,0.9254,0.7647,0.98,0.8387,0.9412
846,12,49,2,4,0.9104,0.75,0.9608,0.8,0.9461
847,20,41,1,5,0.9104,0.8,0.9762,0.8696,0.9705
848,12,49,1,5,0.9104,0.7059,0.98,0.8,0.9718
849,17,39,1,10,0.8358,0.6296,0.975,0.7556,0.9046
850,10,48,3,6,0.8657,0.625,0.9412,0.6897,0.8762
851,13,47,1,6,0.8955,0.6842,0.9792,0.7879,0.8882
852,15,51,0,1,0.9851,0.9375,1.0,0.9677,0.9902
853,17,40,0,10,0.8507,0.6296,1.0,0.7727,0.9278
854,18,39,0,10,0.8507,0.6429,1.0,0.7826,0.9451
855,15,40,3,9,0.8209,0.625,0.9302,0.7143,0.8876
856,16,44,0,7,0.8955,0.6957,1.0,0.8205,0.8626
857,12,47,2,6,0.8806,0.6667,0.9592,0.75,0.9161
