round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,0,7,0,4,0.6364,0.0,1.0,0,0.8929
3,0,6,0,5,0.5455,0.0,1.0,0,0.7667
4,0,9,0,2,0.8182,0.0,1.0,0,0.6667
5,0,7,0,4,0.6364,0.0,1.0,0,0.8571
6,0,10,0,1,0.9091,0.0,1.0,0,1.0
7,0,8,0,3,0.7273,0.0,1.0,0,0.875
8,0,6,0,5,0.5455,0.0,1.0,0,0.7333
9,0,9,0,2,0.8182,0.0,1.0,0,0.6667
10,0,7,0,4,0.6364,0.0,1.0,0,0.8571
11,0,10,0,1,0.9091,0.0,1.0,0,0.7
12,0,6,0,5,0.5455,0.0,1.0,0,0.8333
13,0,9,0,2,0.8182,0.0,1.0,0,1.0
14,0,7,0,4,0.6364,0.0,1.0,0,0.8214
15,0,6,0,5,0.5455,0.0,1.0,0,0.5667
16,0,7,0,4,0.6364,0.0,1.0,0,0.7857
17,0,9,0,2,0.8182,0.0,1.0,0,0.7222
18,0,10,0,1,0.9091,0.0,1.0,0,1.0
19,0,9,0,2,0.8182,0.0,1.0,0,0.9444
20,0,9,0,2,0.8182,0.0,1.0,0,1.0
21,0,7,0,4,0.6364,0.0,1.0,0,0.6071
22,0,10,0,1,0.9091,0.0,1.0,0,0.6
23,0,5,0,6,0.4545,0.0,1.0,0,0.7667
24,0,8,0,3,0.7273,0.0,1.0,0,0.5
25,0,10,0,1,0.9091,0.0,1.0,0,0.9
26,0,9,0,2,0.8182,0.0,1.0,0,0.3333
27,0,10,0,1,0.9091,0.0,1.0,0,0.6
28,0,10,0,1,0.9091,0.0,1.0,0,0.8
29,0,9,0,2,0.8182,0.0,1.0,0,0.7778
30,0,10,0,1,0.9091,0.0,1.0,0,0.4
31,0,9,0,2,0.8182,0.0,1.0,0,0.7222
32,0,8,0,3,0.7273,0.0,1.0,0,0.9583
33,0,7,0,4,0.6364,0.0,1.0,0,0.8571
34,0,7,0,4,0.6364,0.0,1.0,0,0.7857
35,0,9,0,2,0.8182,0.0,1.0,0,0.6667
36,0,7,0,4,0.6364,0.0,1.0,0,1.0
38,0,7,0,4,0.6364,0.0,1.0,0,1.0
39,0,7,0,4,0.6364,0.0,1.0,0,0.7143
40,0,10,0,1,0.9091,0.0,1.0,0,1.0
41,0,8,0,3,0.7273,0.0,1.0,0,0.9167
42,0,8,0,3,0.7273,0.0,1.0,0,1.0
43,0,9,0,2,0.8182,0.0,1.0,0,1.0
44,0,9,0,2,0.8182,0.0,1.0,0,0.6667
45,0,9,0,2,0.8182,0.0,1.0,0,0.8889
46,0,5,0,6,0.4545,0.0,1.0,0,0.9333
47,0,7,0,4,0.6364,0.0,1.0,0,0.9286
48,0,10,0,1,0.9091,0.0,1.0,0,0.5
49,0,8,0,3,0.7273,0.0,1.0,0,0.5
50,0,8,0,3,0.7273,0.0,1.0,0,0.4583
51,0,8,0,3,0.7273,0.0,1.0,0,0.9167
52,0,6,0,5,0.5455,0.0,1.0,0,0.9333
53,0,5,0,6,0.4545,0.0,1.0,0,0.8
54,0,9,0,2,0.8182,0.0,1.0,0,0.9444
55,0,9,0,2,0.8182,0.0,1.0,0,0.7222
56,0,7,0,4,0.6364,0.0,1.0,0,0.8929
57,0,8,0,3,0.7273,0.0,1.0,0,0.5
58,0,9,0,2,0.8182,0.0,1.0,0,0.6667
59,0,7,0,4,0.6364,0.0,1.0,0,0.6071
60,0,8,0,3,0.7273,0.0,1.0,0,1.0
61,0,8,0,3,0.7273,0.0,1.0,0,0.625
62,0,8,0,3,0.7273,0.0,1.0,0,0.75
63,0,8,0,3,0.7273,0.0,1.0,0,0.7917
64,0,8,0,3,0.7273,0.0,1.0,0,0.6667
66,0,8,0,3,0.7273,0.0,1.0,0,0.75
67,0,8,0,3,0.7273,0.0,1.0,0,0.9583
68,0,9,0,2,0.8182,0.0,1.0,0,0.7222
69,0,9,0,2,0.8182,0.0,1.0,0,0.7778
70,0,9,0,2,0.8182,0.0,1.0,0,0.7222
71,0,9,0,2,0.8182,0.0,1.0,0,1.0
72,0,6,0,5,0.5455,0.0,1.0,0,0.7667
73,0,8,0,3,0.7273,0.0,1.0,0,0.7917
74,0,10,0,1,0.9091,0.0,1.0,0,1.0
75,0,3,0,8,0.2727,0.0,1.0,0,0.5
76,0,9,0,2,0.8182,0.0,1.0,0,0.9444
77,0,8,0,3,0.7273,0.0,1.0,0,0.9167
78,0,7,0,4,0.6364,0.0,1.0,0,0.7857
79,0,7,0,4,0.6364,0.0,1.0,0,0.6786
80,0,9,0,2,0.8182,0.0,1.0,0,0.6667
81,0,6,0,5,0.5455,0.0,1.0,0,0.9
82,0,9,0,2,0.8182,0.0,1.0,0,0.7778
83,0,10,0,1,0.9091,0.0,1.0,0,0.7
84,0,9,0,2,0.8182,0.0,1.0,0,0.6111
85,0,8,0,3,0.7273,0.0,1.0,0,0.9167
86,0,8,0,3,0.7273,0.0,1.0,0,1.0
87,0,9,0,2,0.8182,0.0,1.0,0,1.0
88,0,8,0,3,0.7273,0.0,1.0,0,0.6667
89,0,9,0,2,0.8182,0.0,1.0,0,0.5
90,0,9,0,2,0.8182,0.0,1.0,0,0.7778
91,0,6,0,5,0.5455,0.0,1.0,0,0.8333
92,0,10,0,1,0.9091,0.0,1.0,0,0.3
94,0,8,0,3,0.7273,0.0,1.0,0,0.875
95,0,7,0,4,0.6364,0.0,1.0,0,1.0
97,0,6,0,5,0.5455,0.0,1.0,0,0.7333
98,0,7,0,4,0.6364,0.0,1.0,0,1.0
99,0,8,0,3,0.7273,0.0,1.0,0,0.9583
100,0,7,0,4,0.6364,0.0,1.0,0,0.6071
101,0,9,0,2,0.8182,0.0,1.0,0,0.7778
102,0,5,0,6,0.4545,0.0,1.0,0,1.0
103,0,7,0,4,0.6364,0.0,1.0,0,0.75
104,0,6,0,5,0.5455,0.0,1.0,0,0.7667
105,0,9,0,2,0.8182,0.0,1.0,0,1.0
106,0,10,0,1,0.9091,0.0,1.0,0,0.5
107,0,10,0,1,0.9091,0.0,1.0,0,0.7
109,0,9,0,2,0.8182,0.0,1.0,0,1.0
110,0,9,0,2,0.8182,0.0,1.0,0,0.7778
111,0,9,0,2,0.8182,0.0,1.0,0,0.5556
112,0,10,0,1,0.9091,0.0,1.0,0,1.0
113,0,10,0,1,0.9091,0.0,1.0,0,0.8
114,0,9,0,2,0.8182,0.0,1.0,0,0.7778
115,0,8,0,3,0.7273,0.0,1.0,0,0.9583
116,0,8,0,3,0.7273,0.0,1.0,0,0.25
117,0,7,0,4,0.6364,0.0,1.0,0,1.0
118,0,7,0,4,0.6364,0.0,1.0,0,0.7143
119,0,7,0,4,0.6364,0.0,1.0,0,0.8929
120,0,6,0,5,0.5455,0.0,1.0,0,0.9
121,0,8,0,3,0.7273,0.0,1.0,0,0.8333
122,0,10,0,1,0.9091,0.0,1.0,0,0.9
123,0,9,0,2,0.8182,0.0,1.0,0,0.8889
124,0,5,0,6,0.4545,0.0,1.0,0,0.7
125,0,7,0,4,0.6364,0.0,1.0,0,0.6429
126,0,7,0,4,0.6364,0.0,1.0,0,0.6429
128,0,4,0,7,0.3636,0.0,1.0,0,0.7857
129,0,8,0,3,0.7273,0.0,1.0,0,0.9167
130,0,8,0,3,0.7273,0.0,1.0,0,0.9167
131,0,9,0,2,0.8182,0.0,1.0,0,0.8889
132,0,9,0,2,0.8182,0.0,1.0,0,0.7222
133,0,8,0,3,0.7273,0.0,1.0,0,0.8333
134,0,7,0,4,0.6364,0.0,1.0,0,0.7857
135,0,9,0,2,0.8182,0.0,1.0,0,0.4444
136,0,7,0,4,0.6364,0.0,1.0,0,0.9643
137,0,8,0,3,0.7273,0.0,1.0,0,0.9167
138,0,5,0,6,0.4545,0.0,1.0,0,0.6667
139,0,9,0,2,0.8182,0.0,1.0,0,0.7778
140,0,9,0,2,0.8182,0.0,1.0,0,0.8333
141,0,6,0,5,0.5455,0.0,1.0,0,0.7333
142,0,4,0,7,0.3636,0.0,1.0,0,0.6429
143,0,9,0,2,0.8182,0.0,1.0,0,1.0
