round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,17,34,1,4,0.9107,0.8095,0.9714,0.8718,0.9374
2,13,36,2,5,0.875,0.7222,0.9474,0.7879,0.9196
3,13,39,0,4,0.9286,0.7647,1.0,0.8667,0.9668
4,17,33,1,5,0.8929,0.7727,0.9706,0.85,0.9612
5,18,34,1,3,0.9286,0.8571,0.9714,0.9,0.9769
6,16,37,0,3,0.9464,0.8421,1.0,0.9143,0.9388
7,11,37,1,7,0.8571,0.6111,0.9737,0.7333,0.8699
8,15,34,1,6,0.875,0.7143,0.9714,0.8108,0.8476
9,15,33,1,7,0.8571,0.6818,0.9706,0.7895,0.9131
10,16,33,0,7,0.875,0.6957,1.0,0.8205,0.8906
11,14,38,1,3,0.9286,0.8235,0.9744,0.875,0.9276
12,12,38,1,5,0.8929,0.7059,0.9744,0.8,0.8341
13,16,38,0,2,0.9643,0.8889,1.0,0.9412,0.9942
14,12,34,1,9,0.8214,0.5714,0.9714,0.7059,0.8218
15,15,36,0,5,0.9107,0.75,1.0,0.8571,0.9097
16,12,39,0,5,0.9107,0.7059,1.0,0.8276,0.8748
17,17,33,1,5,0.8929,0.7727,0.9706,0.85,0.9011
18,13,34,3,6,0.8393,0.6842,0.9189,0.7429,0.9004
19,12,39,0,5,0.9107,0.7059,1.0,0.8276,0.8793
20,20,29,1,6,0.875,0.7692,0.9667,0.8511,0.9577
21,14,34,2,6,0.8571,0.7,0.9444,0.7778,0.975
22,12,38,1,5,0.8929,0.7059,0.9744,0.8,0.8612
23,16,35,1,4,0.9107,0.8,0.9722,0.8649,0.9806
24,13,35,2,6,0.8571,0.6842,0.9459,0.7647,0.8933
25,19,30,1,6,0.875,0.76,0.9677,0.8444,0.88
26,20,34,0,2,0.9643,0.9091,1.0,0.9524,0.9519
27,12,35,1,8,0.8393,0.6,0.9722,0.7273,0.7722
28,13,38,1,4,0.9107,0.7647,0.9744,0.8387,0.9427
29,13,33,1,9,0.8214,0.5909,0.9706,0.7222,0.8596
30,17,33,0,6,0.8929,0.7391,1.0,0.85,0.9381
31,18,33,0,5,0.9107,0.7826,1.0,0.878,0.946
32,13,39,0,4,0.9286,0.7647,1.0,0.8667,0.9487
33,16,31,1,8,0.8393,0.6667,0.9688,0.7805,0.9284
34,20,28,3,5,0.8571,0.8,0.9032,0.8333,0.8903
35,11,39,1,5,0.8929,0.6875,0.975,0.7857,0.9156
36,15,33,0,8,0.8571,0.6522,1.0,0.7895,0.9078
37,10,40,2,4,0.8929,0.7143,0.9524,0.7692,0.801
38,11,41,1,3,0.9286,0.7857,0.9762,0.8462,0.9167
39,11,40,0,5,0.9107,0.6875,1.0,0.8148,0.8484
40,10,37,0,9,0.8393,0.5263,1.0,0.6897,0.7696
41,10,34,1,11,0.7857,0.4762,0.9714,0.625,0.849
42,18,35,1,2,0.9464,0.9,0.9722,0.9231,0.9458
43,15,35,0,6,0.8929,0.7143,1.0,0.8333,0.9701
44,21,32,0,3,0.9464,0.875,1.0,0.9333,0.9531
45,13,29,0,14,0.75,0.4815,1.0,0.65,0.7573
46,9,38,3,6,0.8393,0.6,0.9268,0.6667,0.7886
47,13,36,0,7,0.875,0.65,1.0,0.7879,0.8653
48,13,35,4,4,0.8571,0.7647,0.8974,0.7647,0.9276
49,12,35,1,8,0.8393,0.6,0.9722,0.7273,0.8681
50,14,34,2,6,0.8571,0.7,0.9444,0.7778,0.9014
51,10,39,0,7,0.875,0.5882,1.0,0.7407,0.902
52,12,35,1,8,0.8393,0.6,0.9722,0.7273,0.8833
53,6,44,2,4,0.8929,0.6,0.9565,0.6667,0.8652
54,11,40,2,3,0.9107,0.7857,0.9524,0.8148,0.8571
55,15,33,1,7,0.8571,0.6818,0.9706,0.7895,0.8703
56,12,37,0,7,0.875,0.6316,1.0,0.7742,0.9104
57,15,35,1,5,0.8929,0.75,0.9722,0.8333,0.8625
58,14,36,0,6,0.8929,0.7,1.0,0.8235,0.8556
59,15,37,1,3,0.9286,0.8333,0.9737,0.8824,0.9401
60,15,30,3,8,0.8036,0.6522,0.9091,0.7317,0.8827
61,13,32,3,8,0.8036,0.619,0.9143,0.7027,0.902
62,16,32,1,7,0.8571,0.6957,0.9697,0.8,0.8432
63,10,39,1,6,0.875,0.625,0.975,0.7407,0.9094
64,15,36,1,4,0.9107,0.7895,0.973,0.8571,0.9147
65,19,32,1,4,0.9107,0.8261,0.9697,0.8837,0.9315
66,12,33,1,10,0.8036,0.5455,0.9706,0.6857,0.8329
67,8,40,2,6,0.8571,0.5714,0.9524,0.6667,0.881
68,15,37,1,3,0.9286,0.8333,0.9737,0.8824,0.9488
69,12,36,0,8,0.8571,0.6,1.0,0.75,0.8847
70,14,34,3,5,0.8571,0.7368,0.9189,0.7778,0.8492
71,11,36,2,7,0.8393,0.6111,0.9474,0.7097,0.8977
72,23,24,0,9,0.8393,0.7188,1.0,0.8364,0.9154
73,15,36,1,4,0.9107,0.7895,0.973,0.8571,0.9488
74,13,36,0,7,0.875,0.65,1.0,0.7879,0.9431
75,20,30,2,4,0.8929,0.8333,0.9375,0.8696,0.9219
76,16,27,3,10,0.7679,0.6154,0.9,0.7111,0.8821
77,20,33,1,2,0.9464,0.9091,0.9706,0.9302,0.9666
78,15,33,1,7,0.8571,0.6818,0.9706,0.7895,0.8904
79,12,39,0,5,0.9107,0.7059,1.0,0.8276,0.8401
80,11,35,1,9,0.8214,0.55,0.9722,0.6875,0.8875
81,9,40,1,6,0.875,0.6,0.9756,0.72,0.8114
82,15,37,2,2,0.9286,0.8824,0.9487,0.8824,0.9276
83,15,36,0,5,0.9107,0.75,1.0,0.8571,0.9694
84,18,33,0,5,0.9107,0.7826,1.0,0.878,0.9302
85,16,36,1,3,0.9286,0.8421,0.973,0.8889,0.9758
86,16,31,2,7,0.8393,0.6957,0.9394,0.7805,0.8656
87,12,35,1,8,0.8393,0.6,0.9722,0.7273,0.7681
88,14,35,1,6,0.875,0.7,0.9722,0.8,0.9069
89,13,36,1,6,0.875,0.6842,0.973,0.7879,0.8677
90,15,30,2,9,0.8036,0.625,0.9375,0.7317,0.8737
91,18,31,3,4,0.875,0.8182,0.9118,0.8372,0.9358
92,19,32,1,4,0.9107,0.8261,0.9697,0.8837,0.9341
93,15,36,2,3,0.9107,0.8333,0.9474,0.8571,0.962
94,14,38,1,3,0.9286,0.8235,0.9744,0.875,0.9336
95,12,42,1,1,0.9643,0.9231,0.9767,0.9231,0.9249
96,14,38,1,3,0.9286,0.8235,0.9744,0.875,0.9548
97,9,34,2,11,0.7679,0.45,0.9444,0.5806,0.7347
98,18,28,0,10,0.8214,0.6429,1.0,0.7826,0.8342
99,11,33,3,9,0.7857,0.55,0.9167,0.6471,0.7875
100,11,33,1,11,0.7857,0.5,0.9706,0.6471,0.8422
101,19,31,0,6,0.8929,0.76,1.0,0.8636,0.9923
102,21,34,0,1,0.9821,0.9545,1.0,0.9767,0.9559
103,17,32,1,6,0.875,0.7391,0.9697,0.8293,0.9552
104,14,38,0,4,0.9286,0.7778,1.0,0.875,0.9825
105,9,39,1,7,0.8571,0.5625,0.975,0.6923,0.8469
106,12,38,0,6,0.8929,0.6667,1.0,0.8,0.8494
107,12,36,2,6,0.8571,0.6667,0.9474,0.75,0.8436
108,12,34,1,9,0.8214,0.5714,0.9714,0.7059,0.7905
109,17,33,0,6,0.8929,0.7391,1.0,0.85,0.942
110,17,31,0,8,0.8571,0.68,1.0,0.8095,0.84
111,10,34,1,11,0.7857,0.4762,0.9714,0.625,0.8884
112,12,36,2,6,0.8571,0.6667,0.9474,0.75,0.9196
113,9,38,1,8,0.8393,0.5294,0.9744,0.6667,0.8115
114,16,36,0,4,0.9286,0.8,1.0,0.8889,0.9056
115,18,30,0,8,0.8571,0.6923,1.0,0.8182,0.9346
116,15,30,2,9,0.8036,0.625,0.9375,0.7317,0.8411
117,13,37,1,5,0.8929,0.7222,0.9737,0.8125,0.864
118,19,30,1,6,0.875,0.76,0.9677,0.8444,0.9329
119,15,32,0,9,0.8393,0.625,1.0,0.7692,0.918
