round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
627,7,53,2,6,0.8824,0.5385,0.9636,0.6364,0.8042
628,6,50,1,11,0.8235,0.3529,0.9804,0.5,0.8639
629,7,52,1,8,0.8676,0.4667,0.9811,0.6087,0.8189
630,12,43,5,8,0.8088,0.6,0.8958,0.6486,0.8198
631,8,47,3,10,0.8088,0.4444,0.94,0.5517,0.8489
632,11,41,2,14,0.7647,0.44,0.9535,0.5789,0.9088
633,9,50,3,6,0.8676,0.6,0.9434,0.6667,0.9044
634,9,44,1,14,0.7794,0.3913,0.9778,0.5455,0.8647
635,7,51,2,8,0.8529,0.4667,0.9623,0.5833,0.8692
636,7,50,1,10,0.8382,0.4118,0.9804,0.56,0.9193
637,8,53,2,5,0.8971,0.6154,0.9636,0.6957,0.835
638,8,51,0,9,0.8676,0.4706,1.0,0.64,0.8478
639,9,49,0,10,0.8529,0.4737,1.0,0.6429,0.87
640,11,51,2,4,0.9118,0.7333,0.9623,0.7857,0.9396
641,6,50,0,12,0.8235,0.3333,1.0,0.5,0.8756
642,12,47,3,6,0.8676,0.6667,0.94,0.7273,0.8933
643,6,50,2,10,0.8235,0.375,0.9615,0.5,0.8125
644,14,45,1,8,0.8676,0.6364,0.9783,0.7568,0.8785
645,10,42,1,15,0.7647,0.4,0.9767,0.5556,0.8921
646,10,53,1,4,0.9265,0.7143,0.9815,0.8,0.9497
647,10,42,4,12,0.7647,0.4545,0.913,0.5556,0.8607
648,11,45,0,12,0.8235,0.4783,1.0,0.6471,0.8918
649,9,50,1,8,0.8676,0.5294,0.9804,0.6667,0.8627
650,10,48,1,9,0.8529,0.5263,0.9796,0.6667,0.9001
651,11,44,2,11,0.8088,0.5,0.9565,0.6286,0.8093
652,11,48,2,7,0.8676,0.6111,0.96,0.7097,0.8822
653,11,44,3,10,0.8088,0.5238,0.9362,0.6286,0.9068
654,7,50,1,10,0.8382,0.4118,0.9804,0.56,0.8997
655,9,50,1,8,0.8676,0.5294,0.9804,0.6667,0.8512
656,8,56,1,3,0.9412,0.7273,0.9825,0.8,0.9713
657,11,40,3,14,0.75,0.44,0.9302,0.5641,0.7656
658,9,50,1,8,0.8676,0.5294,0.9804,0.6667,0.9066
659,7,48,3,10,0.8088,0.4118,0.9412,0.5185,0.7901
660,7,49,1,11,0.8235,0.3889,0.98,0.5385,0.8967
661,14,40,2,12,0.7941,0.5385,0.9524,0.6667,0.8397
662,4,51,2,11,0.8088,0.2667,0.9623,0.381,0.727
663,8,50,3,7,0.8529,0.5333,0.9434,0.6154,0.8792
664,7,51,2,8,0.8529,0.4667,0.9623,0.5833,0.9182
665,7,49,3,9,0.8235,0.4375,0.9423,0.5385,0.887
666,7,46,3,12,0.7794,0.3684,0.9388,0.4828,0.7562
667,13,50,0,5,0.9265,0.7222,1.0,0.8387,0.8967
668,10,51,1,6,0.8971,0.625,0.9808,0.7407,0.9111
669,6,52,0,10,0.8529,0.375,1.0,0.5455,0.8714
670,11,50,1,6,0.8971,0.6471,0.9804,0.7586,0.8962
671,8,48,1,11,0.8235,0.4211,0.9796,0.5714,0.8539
672,11,49,1,7,0.8824,0.6111,0.98,0.7333,0.9178
673,6,51,2,9,0.8382,0.4,0.9623,0.5217,0.761
674,12,48,1,7,0.8824,0.6316,0.9796,0.75,0.9066
675,5,49,2,12,0.7941,0.2941,0.9608,0.4167,0.8685
676,9,43,2,14,0.7647,0.3913,0.9556,0.5294,0.8908
677,8,45,3,12,0.7794,0.4,0.9375,0.5161,0.8219
678,11,49,0,8,0.8824,0.5789,1.0,0.7333,0.9151
679,9,52,1,6,0.8971,0.6,0.9811,0.72,0.9119
680,11,46,0,11,0.8382,0.5,1.0,0.6667,0.8617
681,13,49,1,5,0.9118,0.7222,0.98,0.8125,0.92
682,8,50,2,8,0.8529,0.5,0.9615,0.6154,0.8413
683,7,52,0,9,0.8676,0.4375,1.0,0.6087,0.8714
684,7,48,1,12,0.8088,0.3684,0.9796,0.5185,0.6971
685,11,46,3,8,0.8382,0.5789,0.9388,0.6667,0.913
686,10,49,1,8,0.8676,0.5556,0.98,0.6897,0.9211
687,7,51,3,7,0.8529,0.5,0.9444,0.5833,0.8849
688,7,51,1,9,0.8529,0.4375,0.9808,0.5833,0.8041
