round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
735,12,39,4,13,0.75,0.48,0.907,0.5854,0.773
736,14,42,4,8,0.8235,0.6364,0.913,0.7,0.918
737,9,49,5,5,0.8529,0.6429,0.9074,0.6429,0.8929
738,8,50,3,7,0.8529,0.5333,0.9434,0.6154,0.7748
739,5,46,6,11,0.75,0.3125,0.8846,0.3704,0.7704
740,2,51,3,12,0.7794,0.1429,0.9444,0.2105,0.5635
741,9,46,4,9,0.8088,0.5,0.92,0.5806,0.7856
742,8,44,9,7,0.7647,0.5333,0.8302,0.5,0.7472
743,6,43,5,14,0.7206,0.3,0.8958,0.3871,0.7552
744,6,56,1,5,0.9118,0.5455,0.9825,0.6667,0.9027
745,12,42,6,8,0.7941,0.6,0.875,0.6316,0.8292
746,9,42,8,9,0.75,0.5,0.84,0.5143,0.8444
747,8,44,4,12,0.7647,0.4,0.9167,0.5,0.8094
748,8,47,7,6,0.8088,0.5714,0.8704,0.5517,0.9061
749,9,48,3,8,0.8382,0.5294,0.9412,0.6207,0.8131
750,10,47,3,8,0.8382,0.5556,0.94,0.6452,0.8311
751,11,42,7,8,0.7794,0.5789,0.8571,0.5946,0.8496
752,4,45,6,13,0.7206,0.2353,0.8824,0.2963,0.6228
753,8,48,5,7,0.8235,0.5333,0.9057,0.5714,0.8377
754,10,43,9,6,0.7794,0.625,0.8269,0.5714,0.869
755,6,47,6,9,0.7794,0.4,0.8868,0.4444,0.727
756,7,48,2,11,0.8088,0.3889,0.96,0.5185,0.7256
757,8,45,8,7,0.7794,0.5333,0.8491,0.5161,0.7308
758,10,43,3,12,0.7794,0.4545,0.9348,0.5714,0.7727
759,9,46,5,8,0.8088,0.5294,0.902,0.5806,0.812
760,10,42,3,13,0.7647,0.4348,0.9333,0.5556,0.7111
761,6,49,2,11,0.8088,0.3529,0.9608,0.48,0.8016
762,8,45,6,9,0.7794,0.4706,0.8824,0.5161,0.7889
763,13,46,5,4,0.8676,0.7647,0.902,0.7429,0.8973
764,10,43,9,6,0.7794,0.625,0.8269,0.5714,0.8522
765,9,44,3,12,0.7794,0.4286,0.9362,0.5455,0.7933
766,13,44,5,6,0.8382,0.6842,0.898,0.7027,0.8571
767,14,37,7,10,0.75,0.5833,0.8409,0.6222,0.7812
768,12,42,6,8,0.7941,0.6,0.875,0.6316,0.8604
769,7,47,6,8,0.7941,0.4667,0.8868,0.5,0.766
770,8,51,3,6,0.8676,0.5714,0.9444,0.64,0.922
771,6,49,7,6,0.8088,0.5,0.875,0.48,0.7932
772,7,45,7,9,0.7647,0.4375,0.8654,0.4667,0.8486
773,3,49,6,10,0.7647,0.2308,0.8909,0.2727,0.7091
