round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
103,10,31,4,12,0.7193,0.4545,0.8857,0.5556,0.7766
104,7,39,3,8,0.807,0.4667,0.9286,0.56,0.8556
105,6,42,3,6,0.8421,0.5,0.9333,0.5714,0.8333
106,7,43,1,6,0.8772,0.5385,0.9773,0.6667,0.8986
107,9,38,2,8,0.8246,0.5294,0.95,0.6429,0.8309
108,9,40,0,8,0.8596,0.5294,1.0,0.6923,0.9412
109,12,35,3,7,0.8246,0.6316,0.9211,0.7059,0.8532
110,8,38,2,9,0.807,0.4706,0.95,0.5926,0.9
111,10,39,1,7,0.8596,0.5882,0.975,0.7143,0.8985
112,7,45,0,5,0.9123,0.5833,1.0,0.7368,0.95
113,6,41,1,9,0.8246,0.4,0.9762,0.5455,0.8794
114,9,38,1,9,0.8246,0.5,0.9744,0.6429,0.886
115,9,37,2,9,0.807,0.5,0.9487,0.6207,0.7009
116,11,34,2,10,0.7895,0.5238,0.9444,0.6471,0.8294
117,9,39,1,8,0.8421,0.5294,0.975,0.6667,0.8632
118,11,38,1,7,0.8596,0.6111,0.9744,0.7333,0.8618
119,11,36,0,10,0.8246,0.5238,1.0,0.6875,0.9299
120,13,40,2,2,0.9298,0.8667,0.9524,0.8667,0.9778
121,7,38,2,10,0.7895,0.4118,0.95,0.5385,0.8559
122,11,42,0,4,0.9298,0.7333,1.0,0.8462,0.9175
123,16,30,1,10,0.807,0.6154,0.9677,0.7442,0.8648
124,6,39,4,8,0.7895,0.4286,0.907,0.5,0.8588
125,6,37,5,9,0.7544,0.4,0.881,0.4615,0.6778
126,5,38,4,10,0.7544,0.3333,0.9048,0.4167,0.8238
127,10,32,3,12,0.7368,0.4545,0.9143,0.5714,0.8442
128,5,41,7,4,0.807,0.5556,0.8542,0.4762,0.7917
129,5,40,1,11,0.7895,0.3125,0.9756,0.4545,0.8262
130,6,43,2,6,0.8596,0.5,0.9556,0.6,0.8315
131,10,35,0,12,0.7895,0.4545,1.0,0.625,0.7221
132,8,31,0,18,0.6842,0.3077,1.0,0.4706,0.8226
133,10,32,1,14,0.7368,0.4167,0.9697,0.5714,0.8624
134,8,40,3,6,0.8421,0.5714,0.9302,0.64,0.9136
135,8,40,1,8,0.8421,0.5,0.9756,0.64,0.9329
136,9,42,1,5,0.8947,0.6429,0.9767,0.75,0.8837
137,16,34,1,6,0.8772,0.7273,0.9714,0.8205,0.9273
138,14,35,1,7,0.8596,0.6667,0.9722,0.7778,0.8995
139,11,36,0,10,0.8246,0.5238,1.0,0.6875,0.9008
140,11,35,0,11,0.807,0.5,1.0,0.6667,0.8117
141,8,37,3,9,0.7895,0.4706,0.925,0.5714,0.7588
142,10,38,1,8,0.8421,0.5556,0.9744,0.6897,0.8376
143,7,37,3,10,0.7719,0.4118,0.925,0.5185,0.8088
144,9,40,2,6,0.8596,0.6,0.9524,0.6923,0.8365
145,7,38,1,11,0.7895,0.3889,0.9744,0.5385,0.7322
146,10,37,1,9,0.8246,0.5263,0.9737,0.6667,0.8726
147,8,40,4,5,0.8421,0.6154,0.9091,0.64,0.8584
148,10,38,1,8,0.8421,0.5556,0.9744,0.6897,0.9117
149,12,35,0,10,0.8246,0.5455,1.0,0.7059,0.787
150,10,37,1,9,0.8246,0.5263,0.9737,0.6667,0.8961
151,7,42,3,5,0.8596,0.5833,0.9333,0.6364,0.913
152,7,40,3,7,0.8246,0.5,0.9302,0.5833,0.7658
153,11,37,1,8,0.8421,0.5789,0.9737,0.7097,0.9183
154,13,31,3,10,0.7719,0.5652,0.9118,0.6667,0.9066
155,8,42,3,4,0.8772,0.6667,0.9333,0.6957,0.9204
156,6,39,4,8,0.7895,0.4286,0.907,0.5,0.8189
157,8,41,2,6,0.8596,0.5714,0.9535,0.6667,0.8073
158,9,37,2,9,0.807,0.5,0.9487,0.6207,0.839
159,8,33,3,13,0.7193,0.381,0.9167,0.5,0.7606
160,5,46,2,4,0.8947,0.5556,0.9583,0.625,0.9583
161,8,39,1,9,0.8246,0.4706,0.975,0.6154,0.9088
162,6,38,1,12,0.7719,0.3333,0.9744,0.48,0.7963
163,10,36,2,9,0.807,0.5263,0.9474,0.6452,0.885
164,16,34,1,6,0.8772,0.7273,0.9714,0.8205,0.939
165,9,36,4,8,0.7895,0.5294,0.9,0.6,0.7882
166,12,35,1,9,0.8246,0.5714,0.9722,0.7059,0.8624
167,6,37,4,10,0.7544,0.375,0.9024,0.4615,0.75
168,6,46,1,4,0.9123,0.6,0.9787,0.7059,0.8957
169,9,40,2,6,0.8596,0.6,0.9524,0.6923,0.8254
170,5,44,1,7,0.8596,0.4167,0.9778,0.5556,0.7444
171,13,33,3,8,0.807,0.619,0.9167,0.7027,0.8783
172,7,38,2,10,0.7895,0.4118,0.95,0.5385,0.7809
173,6,39,1,11,0.7895,0.3529,0.975,0.5,0.8529
174,4,41,5,7,0.7895,0.3636,0.8913,0.4,0.67
175,10,37,1,9,0.8246,0.5263,0.9737,0.6667,0.8823
176,9,37,2,9,0.807,0.5,0.9487,0.6207,0.8832
177,5,38,4,10,0.7544,0.3333,0.9048,0.4167,0.7571
178,8,39,2,8,0.8246,0.5,0.9512,0.6154,0.8155
179,9,30,7,11,0.6842,0.45,0.8108,0.5,0.7189
180,9,37,3,8,0.807,0.5294,0.925,0.6207,0.8029
181,8,36,1,12,0.7719,0.4,0.973,0.5517,0.8095
182,14,28,5,10,0.7368,0.5833,0.8485,0.6512,0.8763
183,6,46,0,5,0.9123,0.5455,1.0,0.7059,0.8696
184,9,38,1,9,0.8246,0.5,0.9744,0.6429,0.9217
185,9,38,3,7,0.8246,0.5625,0.9268,0.6429,0.7729
186,8,36,4,9,0.7719,0.4706,0.9,0.5517,0.7676
187,7,40,4,6,0.8246,0.5385,0.9091,0.5833,0.715
188,8,35,1,13,0.7544,0.381,0.9722,0.5333,0.8585
189,7,46,0,4,0.9298,0.6364,1.0,0.7778,0.9921
190,8,42,2,5,0.8772,0.6154,0.9545,0.6957,0.9038
191,6,39,2,10,0.7895,0.375,0.9512,0.5,0.8857
192,8,39,2,8,0.8246,0.5,0.9512,0.6154,0.8125
193,6,43,3,5,0.8596,0.5455,0.9348,0.6,0.6779
194,6,42,1,8,0.8421,0.4286,0.9767,0.5714,0.8754
195,10,36,0,11,0.807,0.4762,1.0,0.6452,0.8214
196,13,36,3,5,0.8596,0.7222,0.9231,0.7647,0.916
197,8,38,0,11,0.807,0.4211,1.0,0.5926,0.9557
198,13,36,1,7,0.8596,0.65,0.973,0.7647,0.8676
199,11,38,2,6,0.8596,0.6471,0.95,0.7333,0.9309
200,10,36,1,10,0.807,0.5,0.973,0.6452,0.8811
201,8,39,0,10,0.8246,0.4444,1.0,0.6154,0.8561
202,10,36,2,9,0.807,0.5263,0.9474,0.6452,0.8837
203,10,39,2,6,0.8596,0.625,0.9512,0.7143,0.8628
204,8,45,4,0,0.9298,1.0,0.9184,0.8,0.9796
205,6,39,4,8,0.7895,0.4286,0.907,0.5,0.809
206,13,41,1,2,0.9474,0.8667,0.9762,0.8966,0.9222
207,9,35,4,9,0.7719,0.5,0.8974,0.5806,0.7821
208,7,42,2,6,0.8596,0.5385,0.9545,0.6364,0.7902
209,7,36,3,11,0.7544,0.3889,0.9231,0.5,0.7407
210,9,39,2,7,0.8421,0.5625,0.9512,0.6667,0.8293
211,12,38,4,3,0.8772,0.8,0.9048,0.7742,0.8762
212,7,44,0,6,0.8947,0.5385,1.0,0.7,0.8689
213,4,41,4,8,0.7895,0.3333,0.9111,0.4,0.8907
214,9,39,0,9,0.8421,0.5,1.0,0.6667,0.8419
215,11,38,5,3,0.8596,0.7857,0.8837,0.7333,0.8721
216,8,41,1,7,0.8596,0.5333,0.9762,0.6667,0.8048
217,9,40,2,6,0.8596,0.6,0.9524,0.6923,0.8683
218,7,35,2,13,0.7368,0.35,0.9459,0.4828,0.8405
219,12,39,2,4,0.8947,0.75,0.9512,0.8,0.7912
220,9,37,3,8,0.807,0.5294,0.925,0.6207,0.8176
221,7,43,2,5,0.8772,0.5833,0.9556,0.6667,0.8574
222,12,38,0,7,0.8772,0.6316,1.0,0.7742,0.9072
223,7,42,0,8,0.8596,0.4667,1.0,0.6364,0.9048
224,10,37,2,8,0.8246,0.5556,0.9487,0.6667,0.7934
225,12,39,1,5,0.8947,0.7059,0.975,0.8,0.8691
226,9,39,2,7,0.8421,0.5625,0.9512,0.6667,0.9024
227,10,38,2,7,0.8421,0.5882,0.95,0.6897,0.9044
228,14,32,2,9,0.807,0.6087,0.9412,0.7179,0.9156
229,5,41,1,10,0.807,0.3333,0.9762,0.4762,0.7889
230,11,35,4,7,0.807,0.6111,0.8974,0.6667,0.8519
231,9,35,3,10,0.7719,0.4737,0.9211,0.5806,0.9003
232,9,38,1,9,0.8246,0.5,0.9744,0.6429,0.8291
233,13,39,0,5,0.9123,0.7222,1.0,0.8387,0.9145
234,7,42,0,8,0.8596,0.4667,1.0,0.6364,0.8381
235,4,42,1,10,0.807,0.2857,0.9767,0.4211,0.7292
236,6,41,2,8,0.8246,0.4286,0.9535,0.5455,0.7741
237,10,42,0,5,0.9123,0.6667,1.0,0.8,0.9413
238,11,38,1,7,0.8596,0.6111,0.9744,0.7333,0.9373
239,6,41,3,7,0.8246,0.4615,0.9318,0.5455,0.8951
240,9,40,4,4,0.8596,0.6923,0.9091,0.6923,0.8549
241,8,38,2,9,0.807,0.4706,0.95,0.5926,0.8074
242,9,35,5,8,0.7719,0.5294,0.875,0.5806,0.8
243,10,37,2,8,0.8246,0.5556,0.9487,0.6667,0.8932
244,12,38,1,6,0.8772,0.6667,0.9744,0.7742,0.8846
245,16,30,3,8,0.807,0.6667,0.9091,0.7442,0.8712
246,13,35,1,8,0.8421,0.619,0.9722,0.7429,0.9259
247,11,37,0,9,0.8421,0.55,1.0,0.7097,0.7595
248,13,33,3,8,0.807,0.619,0.9167,0.7027,0.8757
249,9,39,3,6,0.8421,0.6,0.9286,0.6667,0.854
250,9,36,5,7,0.7895,0.5625,0.878,0.6,0.7835
251,7,38,1,11,0.7895,0.3889,0.9744,0.5385,0.7621
252,9,42,2,4,0.8947,0.6923,0.9545,0.75,0.8409
253,6,36,4,11,0.7368,0.3529,0.9,0.4444,0.7603
254,6,38,3,10,0.7719,0.375,0.9268,0.48,0.6829
255,15,34,1,7,0.8596,0.6818,0.9714,0.7895,0.8714
256,6,47,0,4,0.9298,0.6,1.0,0.75,0.983
257,3,41,2,11,0.7719,0.2143,0.9535,0.3158,0.7857
258,9,40,1,7,0.8596,0.5625,0.9756,0.6923,0.8247
259,5,40,2,10,0.7895,0.3333,0.9524,0.4545,0.7206
260,12,32,1,12,0.7719,0.5,0.9697,0.6486,0.928
261,6,42,0,9,0.8421,0.4,1.0,0.5714,0.6905
262,8,35,2,12,0.7544,0.4,0.9459,0.5333,0.7284
263,7,39,2,9,0.807,0.4375,0.9512,0.56,0.8384
264,11,37,0,9,0.8421,0.55,1.0,0.7097,0.8595
265,6,39,2,10,0.7895,0.375,0.9512,0.5,0.7668
266,10,41,1,5,0.8947,0.6667,0.9762,0.7692,0.8825
267,12,30,1,14,0.7368,0.4615,0.9677,0.6154,0.8983
268,10,41,1,5,0.8947,0.6667,0.9762,0.7692,0.9317
269,9,37,1,10,0.807,0.4737,0.9737,0.6207,0.8587
270,9,40,1,7,0.8596,0.5625,0.9756,0.6923,0.7774
271,8,44,2,3,0.9123,0.7273,0.9565,0.7619,0.9684
272,11,40,2,4,0.8947,0.7333,0.9524,0.7857,0.8746
273,12,34,5,6,0.807,0.6667,0.8718,0.6857,0.8433
274,6,37,1,13,0.7544,0.3158,0.9737,0.4615,0.8615
275,9,40,1,7,0.8596,0.5625,0.9756,0.6923,0.9527
276,9,35,3,10,0.7719,0.4737,0.9211,0.5806,0.831
277,10,40,0,7,0.8772,0.5882,1.0,0.7407,0.95
278,14,36,2,5,0.8772,0.7368,0.9474,0.8,0.8947
279,4,42,2,9,0.807,0.3077,0.9545,0.4211,0.8129
280,11,38,1,7,0.8596,0.6111,0.9744,0.7333,0.8547
281,7,41,0,9,0.8421,0.4375,1.0,0.6087,0.8125
282,9,36,2,10,0.7895,0.4737,0.9474,0.6,0.9197
283,7,40,1,9,0.8246,0.4375,0.9756,0.5833,0.8796
284,12,37,1,7,0.8596,0.6316,0.9737,0.75,0.8546
285,10,36,3,8,0.807,0.5556,0.9231,0.6452,0.8818
286,8,39,1,9,0.8246,0.4706,0.975,0.6154,0.8382
287,11,35,2,9,0.807,0.55,0.9459,0.6667,0.8095
288,11,37,1,8,0.8421,0.5789,0.9737,0.7097,0.9044
289,10,42,1,4,0.9123,0.7143,0.9767,0.8,0.8771
290,10,35,7,5,0.7895,0.6667,0.8333,0.625,0.9127
291,9,36,2,10,0.7895,0.4737,0.9474,0.6,0.8172
292,11,35,2,9,0.807,0.55,0.9459,0.6667,0.8851
293,8,38,1,10,0.807,0.4444,0.9744,0.5926,0.792
294,13,36,2,6,0.8596,0.6842,0.9474,0.7647,0.9252
295,10,35,2,10,0.7895,0.5,0.9459,0.625,0.8716
296,9,37,2,9,0.807,0.5,0.9487,0.6207,0.8177
297,10,37,1,9,0.8246,0.5263,0.9737,0.6667,0.946
298,7,40,2,8,0.8246,0.4667,0.9524,0.5833,0.7794
299,7,40,3,7,0.8246,0.5,0.9302,0.5833,0.9003
300,11,38,0,8,0.8596,0.5789,1.0,0.7333,0.8518
301,6,38,4,9,0.7719,0.4,0.9048,0.48,0.8556
302,8,41,4,4,0.8596,0.6667,0.9111,0.6667,0.8907
303,6,37,3,11,0.7544,0.3529,0.925,0.4615,0.7059
304,8,40,2,7,0.8421,0.5333,0.9524,0.64,0.9286
305,12,35,3,7,0.8246,0.6316,0.9211,0.7059,0.8934
306,6,41,3,7,0.8246,0.4615,0.9318,0.5455,0.8497
307,10,30,3,14,0.7018,0.4167,0.9091,0.5405,0.7664
308,7,42,3,5,0.8596,0.5833,0.9333,0.6364,0.9056
309,9,40,1,7,0.8596,0.5625,0.9756,0.6923,0.7713
310,12,40,1,4,0.9123,0.75,0.9756,0.8276,0.9375
311,9,32,4,12,0.7193,0.4286,0.8889,0.5294,0.754
312,9,38,1,9,0.8246,0.5,0.9744,0.6429,0.9687
313,10,40,1,6,0.8772,0.625,0.9756,0.7407,0.9192
314,8,37,2,10,0.7895,0.4444,0.9487,0.5714,0.7877
315,5,40,3,9,0.7895,0.3571,0.9302,0.4545,0.7226
316,16,32,5,4,0.8421,0.8,0.8649,0.7805,0.8824
317,10,39,0,8,0.8596,0.5556,1.0,0.7143,0.9046
318,7,33,5,12,0.7018,0.3684,0.8684,0.4516,0.6385
319,8,34,2,13,0.7368,0.381,0.9444,0.5161,0.7235
